Warehouse,Location,Type,Pick Priority,Pickable,Sellable,Transfer bin,Quantity
VP North,1-A-03-A-03,Pallite_16,0,,Yes,,0
VP North,1-A-03-A-04,Pallite_16,0,,Yes,,0
VP North,1-A-03-B-01,Pallite_16,0,,Yes,,23
VP North,1-A-03-B-02,Pallite_16,0,,Yes,,7
VP North,1-A-03-B-03,Pallite_16,0,,Yes,,10
VP North,1-A-03-B-04,Pallite_16,0,,Yes,,12
VP North,1-A-03-C-01,Pallite_16,0,,Yes,,16
VP North,1-A-03-C-02,Pallite_16,0,,Yes,,6
VP North,1-A-03-C-03,Pallite_16,0,,Yes,,6
VP North,1-A-03-C-04,Pallite_16,0,,Yes,,12
VP North,1-A-03-D-01,Pallite_16,0,,Yes,,12
VP North,1-A-03-D-02,Pallite_16,0,,Yes,,51
VP North,1-A-03-D-03,Pallite_16,0,,Yes,,21
VP North,1-A-03-D-04,Pallite_16,0,,Yes,,24
VP North,1-A-03-E-01,Pallite_16,0,,Yes,,7
VP North,1-A-03-E-02,Pallite_16,0,,Yes,,7
VP North,1-A-03-E-03,Pallite_16,0,,Yes,,6
VP North,1-A-03-E-04,Pallite_16,0,,Yes,,9
VP North,1-A-03-F-01,Pallite_16,0,,Yes,,0
VP North,1-A-03-F-02,Pallite_16,0,,Yes,,0
VP North,1-A-03-F-03,Pallite_16,0,,Yes,,0
VP North,1-A-03-F-04,Pallite_16,0,,Yes,,0
VP North,1-A-03-G-01,Pallite_16,0,,Yes,,0
VP North,1-A-03-G-02,Pallite_16,0,,Yes,,0
VP North,1-A-03-G-03,Pallite_16,0,,Yes,,0
VP North,1-A-03-G-04,Pallite_16,0,,Yes,,0
VP North,1-A-04-A-01,Pallite_48,0,,Yes,,0
VP North,1-A-04-A-02,Pallite_48,0,,Yes,,0
VP North,1-A-04-A-03,Pallite_48,0,,Yes,,0
VP North,1-A-04-A-04,Pallite_48,0,,Yes,,0
VP North,1-A-04-B-01,Pallite_48,0,,Yes,,0
VP North,1-A-04-B-02,Pallite_48,0,,Yes,,18
VP North,1-A-04-B-03,Pallite_48,0,,Yes,,18
VP North,1-A-04-B-04,Pallite_48,0,,Yes,,1
VP North,1-A-04-C-01,Pallite_48,0,,Yes,,57
VP North,1-A-04-C-02,Pallite_48,0,,Yes,,40
VP North,1-A-04-C-03,Pallite_48,0,,Yes,,40
VP North,1-A-04-C-04,Pallite_48,0,,Yes,,27
VP North,1-A-04-D-01,Pallite_48,0,,Yes,,4
VP North,1-A-04-D-02,Pallite_48,0,,Yes,,20
VP North,1-A-04-D-03,Pallite_48,0,,Yes,,12
VP North,1-A-04-D-04,Pallite_48,0,,Yes,,4
VP North,1-A-04-E-01,Pallite_48,0,,Yes,,3
VP North,1-A-04-E-02,Pallite_48,0,,Yes,,3
VP North,1-A-04-E-03,Pallite_48,0,,Yes,,3
VP North,1-A-04-E-04,Pallite_48,0,,Yes,,18
VP North,1-A-04-F-01,Pallite_48,0,,Yes,,12
VP North,1-A-04-F-02,Pallite_48,0,,Yes,,9
VP North,1-A-04-F-03,Pallite_48,0,,Yes,,3
VP North,1-A-04-F-04,Pallite_48,0,,Yes,,8
VP North,1-A-04-G-01,Pallite_48,0,,Yes,,6
VP North,1-A-04-G-02,Pallite_48,0,,Yes,,0
VP North,1-A-04-G-03,Pallite_48,0,,Yes,,0
VP North,1-A-04-G-04,Pallite_48,0,,Yes,,60
VP North,1-A-05-A-01,Pallite_16,0,,Yes,,0
VP North,1-A-05-A-02,Pallite_16,0,,Yes,,0
VP North,1-A-05-A-03,Pallite_16,0,,Yes,,0
VP North,1-A-05-A-04,Pallite_16,0,,Yes,,1
VP North,1-A-05-B-01,Pallite_16,0,,Yes,,12
VP North,1-A-05-B-02,Pallite_16,0,,Yes,,48
VP North,1-A-05-B-03,Pallite_16,0,,Yes,,6
VP North,1-A-05-B-04,Pallite_16,0,,Yes,,17
VP North,1-A-05-C-01,Pallite_16,0,,Yes,,36
VP North,1-A-05-C-02,Pallite_16,0,,Yes,,12
VP North,1-A-05-C-03,Pallite_16,0,,Yes,,6
VP North,1-A-05-C-04,Pallite_16,0,,Yes,,21
VP North,1-A-05-D-01,Pallite_16,0,,Yes,,48
VP North,1-A-05-D-02,Pallite_16,0,,Yes,,23
VP North,1-A-05-D-03,Pallite_16,0,,Yes,,6
VP North,1-A-05-D-04,Pallite_16,0,,Yes,,8
VP North,1-A-05-E-01,Pallite_16,0,,Yes,,24
VP North,1-A-05-E-02,Pallite_16,0,,Yes,,20
VP North,1-A-05-E-03,Pallite_16,0,,Yes,,2
VP North,1-A-05-E-04,Pallite_16,0,,Yes,,5
VP North,1-A-05-F-01,Pallite_16,0,,Yes,,0
VP North,1-A-05-F-02,Pallite_16,0,,Yes,,0
VP North,1-A-05-F-03,Pallite_16,0,,Yes,,0
VP North,1-A-05-F-04,Pallite_16,0,,Yes,,0
VP North,1-A-05-G-01,Pallite_16,0,,Yes,,0
VP North,1-A-05-G-02,Pallite_16,0,,Yes,,0
VP North,1-A-05-G-03,Pallite_16,0,,Yes,,0
VP North,1-A-05-G-04,Pallite_16,0,,Yes,,0
VP North,1-A-06-A-01,Pallite_48,0,,Yes,,0
VP North,1-A-06-A-02,Pallite_48,0,,Yes,,0
VP North,1-A-06-A-03,Pallite_48,0,,Yes,,0
VP North,1-A-06-A-04,Pallite_48,0,,Yes,,0
VP North,1-A-06-B-01,Pallite_48,0,,Yes,,14
VP North,1-A-06-B-02,Pallite_48,0,,Yes,,1
VP North,1-A-06-B-03,Pallite_48,0,,Yes,,24
VP North,1-A-06-B-04,Pallite_48,0,,Yes,,17
VP North,1-A-06-C-01,Pallite_48,0,,Yes,,6
VP North,1-A-06-C-02,Pallite_48,0,,Yes,,7
VP North,1-A-06-C-03,Pallite_48,0,,Yes,,13
VP North,1-A-06-C-04,Pallite_48,0,,Yes,,7
VP North,1-A-06-D-01,Pallite_48,0,,Yes,,7
VP North,1-A-06-D-02,Pallite_48,0,,Yes,,5
VP North,1-A-06-D-03,Pallite_48,0,,Yes,,9
VP North,1-A-06-D-04,Pallite_48,0,,Yes,,7
VP North,1-A-06-E-01,Pallite_48,0,,Yes,,6
VP North,1-A-06-E-02,Pallite_48,0,,Yes,,12
VP North,1-A-06-E-03,Pallite_48,0,,Yes,,24
VP North,1-A-06-E-04,Pallite_48,0,,Yes,,16
VP North,1-A-06-F-01,Pallite_48,0,,Yes,,17
VP North,1-A-06-F-02,Pallite_48,0,,Yes,,3
VP North,1-A-06-F-03,Pallite_48,0,,Yes,,4
VP North,1-A-06-F-04,Pallite_48,0,,Yes,,4
VP North,1-A-06-G-01,Pallite_48,0,,Yes,,14
VP North,1-A-06-G-02,Pallite_48,0,,Yes,,11
VP North,1-A-06-G-03,Pallite_48,0,,Yes,,12
VP North,1-A-06-G-04,Pallite_48,0,,Yes,,6
VP North,1-A-07-A-01,Pallite_16,0,,Yes,,3
VP North,1-A-07-A-02,Pallite_16,0,,Yes,,2
VP North,1-A-07-A-03,Pallite_16,0,,Yes,,0
VP North,1-A-07-A-04,Pallite_16,0,,Yes,,0
VP North,1-A-07-B-01,Pallite_16,0,,Yes,,6
VP North,1-A-07-B-02,Pallite_16,0,,Yes,,4
VP North,1-A-07-B-03,Pallite_16,0,,Yes,,6
VP North,1-A-07-B-04,Pallite_16,0,,Yes,,34
VP North,1-A-07-C-01,Pallite_16,0,,Yes,,54
VP North,1-A-07-C-02,Pallite_16,0,,Yes,,8
VP North,1-A-07-C-03,Pallite_16,0,,Yes,,7
VP North,1-A-07-C-04,Pallite_16,0,,Yes,,4
VP North,1-A-07-D-01,Pallite_16,0,,Yes,,16
VP North,1-A-07-D-02,Pallite_16,0,,Yes,,30
VP North,1-A-07-D-03,Pallite_16,0,,Yes,,5
VP North,1-A-07-D-04,Pallite_16,0,,Yes,,23
VP North,1-A-07-E-01,Pallite_16,0,,Yes,,21
VP North,1-A-07-E-02,Pallite_16,0,,Yes,,6
VP North,1-A-07-E-03,Pallite_16,0,,Yes,,6
VP North,1-A-07-E-04,Pallite_16,0,,Yes,,30
VP North,1-A-07-F-01,Pallite_16,0,,Yes,,0
VP North,1-A-07-F-02,Pallite_16,0,,Yes,,0
VP North,1-A-07-F-03,Pallite_16,0,,Yes,,0
VP North,1-A-07-F-04,Pallite_16,0,,Yes,,0
VP North,1-A-07-G-01,Pallite_16,0,,Yes,,0
VP North,1-A-07-G-02,Pallite_16,0,,Yes,,0
VP North,1-A-07-G-03,Pallite_16,0,,Yes,,0
VP North,1-A-07-G-04,Pallite_16,0,,Yes,,0
VP North,1-A-08-A-01,Pallite_48,0,,Yes,,0
VP North,1-A-08-A-02,Pallite_48,0,,Yes,,0
VP North,1-A-08-A-03,Pallite_48,0,,Yes,,0
VP North,1-A-08-A-04,Pallite_48,0,,Yes,,0
VP North,1-A-08-B-01,Pallite_48,0,,Yes,,6
VP North,1-A-08-B-02,Pallite_48,0,,Yes,,24
VP North,1-A-08-B-03,Pallite_48,0,,Yes,,24
VP North,1-A-08-B-04,Pallite_48,0,,Yes,,9
VP North,1-A-08-C-01,Pallite_48,0,,Yes,,6
VP North,1-A-08-C-02,Pallite_48,0,,Yes,,12
VP North,1-A-08-C-03,Pallite_48,0,,Yes,,6
VP North,1-A-08-C-04,Pallite_48,0,,Yes,,12
VP North,1-A-08-D-01,Pallite_48,0,,Yes,,17
VP North,1-A-08-D-02,Pallite_48,0,,Yes,,22
VP North,1-A-08-D-03,Pallite_48,0,,Yes,,6
VP North,1-A-08-D-04,Pallite_48,0,,Yes,,6
VP North,1-A-08-E-01,Pallite_48,0,,Yes,,24
VP North,1-A-08-E-02,Pallite_48,0,,Yes,,21
VP North,1-A-08-E-03,Pallite_48,0,,Yes,,24
VP North,1-A-08-E-04,Pallite_48,0,,Yes,,20
VP North,1-A-08-F-01,Pallite_48,0,,Yes,,6
VP North,1-A-08-F-02,Pallite_48,0,,Yes,,12
VP North,1-A-08-F-03,Pallite_48,0,,Yes,,24
VP North,1-A-08-F-04,Pallite_48,0,,Yes,,11
VP North,1-A-08-G-01,Pallite_48,0,,Yes,,0
VP North,1-A-08-G-02,Pallite_48,0,,Yes,,0
VP North,1-A-08-G-03,Pallite_48,0,,Yes,,12
VP North,1-A-08-G-04,Pallite_48,0,,Yes,,3
VP North,1-A-09-A-01,Pallite_16,0,,Yes,,0
VP North,1-A-09-A-02,Pallite_16,0,,Yes,,0
VP North,1-A-09-A-03,Pallite_16,0,,Yes,,0
VP North,1-A-09-A-04,Pallite_16,0,,Yes,,0
VP North,1-A-09-B-01,Pallite_16,0,,Yes,,4
VP North,1-A-09-B-02,Pallite_16,0,,Yes,,30
VP North,1-A-09-B-03,Pallite_16,0,,Yes,,21
VP North,1-A-09-B-04,Pallite_16,0,,Yes,,18
VP North,1-A-09-C-01,Pallite_16,0,,Yes,,24
VP North,1-A-09-C-02,Pallite_16,0,,Yes,,4
VP North,1-A-09-C-03,Pallite_16,0,,Yes,,30
VP North,1-A-09-C-04,Pallite_16,0,,Yes,,9
VP North,1-A-09-D-01,Pallite_16,0,,Yes,,19
VP North,1-A-09-D-02,Pallite_16,0,,Yes,,4
VP North,1-A-09-D-03,Pallite_16,0,,Yes,,6
VP North,1-A-09-D-04,Pallite_16,0,,Yes,,18
VP North,1-A-09-E-01,Pallite_16,0,,Yes,,6
VP North,1-A-09-E-02,Pallite_16,0,,Yes,,4
VP North,1-A-09-E-03,Pallite_16,0,,Yes,,18
VP North,1-A-09-E-04,Pallite_16,0,,Yes,,15
VP North,1-A-09-F-01,Pallite_16,0,,Yes,,0
VP North,1-A-09-F-02,Pallite_16,0,,Yes,,0
VP North,1-A-09-F-03,Pallite_16,0,,Yes,,0
VP North,1-A-09-F-04,Pallite_16,0,,Yes,,0
VP North,1-A-09-G-01,Pallite_16,0,,Yes,,0
VP North,1-A-09-G-02,Pallite_16,0,,Yes,,0
VP North,1-A-09-G-03,Pallite_16,0,,Yes,,0
VP North,1-A-09-G-04,Pallite_16,0,,Yes,,0
VP North,1-A-10-A-01,Pallite_48,0,,Yes,,0
VP North,1-A-10-A-02,Pallite_48,0,,Yes,,0
VP North,1-A-10-A-03,Pallite_48,0,,Yes,,0
VP North,1-A-10-A-04,Pallite_48,0,,Yes,,0
VP North,1-A-10-B-01,Pallite_48,0,,Yes,,6
VP North,1-A-10-B-02,Pallite_48,0,,Yes,,5
VP North,1-A-10-B-03,Pallite_48,0,,Yes,,7
VP North,1-A-10-B-04,Pallite_48,0,,Yes,,101
VP North,1-A-10-C-01,Pallite_48,0,,Yes,,6
VP North,1-A-10-C-02,Pallite_48,0,,Yes,,11
VP North,1-A-10-C-03,Pallite_48,0,,Yes,,15
VP North,1-A-10-C-04,Pallite_48,0,,Yes,,3
VP North,1-A-10-D-01,Pallite_48,0,,Yes,,14
VP North,1-A-10-D-02,Pallite_48,0,,Yes,,1
VP North,1-A-10-D-03,Pallite_48,0,,Yes,,24
VP North,1-A-10-D-04,Pallite_48,0,,Yes,,16
VP North,1-A-10-E-01,Pallite_48,0,,Yes,,15
VP North,1-A-10-E-02,Pallite_48,0,,Yes,,11
VP North,1-A-10-E-03,Pallite_48,0,,Yes,,12
VP North,1-A-10-E-04,Pallite_48,0,,Yes,,0
VP North,1-A-10-F-01,Pallite_48,0,,Yes,,24
VP North,1-A-10-F-02,Pallite_48,0,,Yes,,6
VP North,1-A-10-F-03,Pallite_48,0,,Yes,,50
VP North,1-A-10-F-04,Pallite_48,0,,Yes,,6
VP North,1-A-10-G-01,Pallite_48,0,,Yes,,5
VP North,1-A-10-G-02,Pallite_48,0,,Yes,,3
VP North,1-A-10-G-03,Pallite_48,0,,Yes,,25
VP North,1-A-10-G-04,Pallite_48,0,,Yes,,49
VP North,1-A-11-A-01,Pallite_16,0,,Yes,,0
VP North,1-A-11-A-02,Pallite_16,0,,Yes,,0
VP North,1-A-11-A-03,Pallite_16,0,,Yes,,0
VP North,1-A-11-A-04,Pallite_16,0,,Yes,,0
VP North,1-A-11-B-01,Pallite_16,0,,Yes,,12
VP North,1-A-11-B-02,Pallite_16,0,,Yes,,17
VP North,1-A-11-B-03,Pallite_16,0,,Yes,,24
VP North,1-A-11-B-04,Pallite_16,0,,Yes,,30
VP North,1-A-11-C-01,Pallite_16,0,,Yes,,35
VP North,1-A-11-C-02,Pallite_16,0,,Yes,,6
VP North,1-A-11-C-03,Pallite_16,0,,Yes,,31
VP North,1-A-11-C-04,Pallite_16,0,,Yes,,10
VP North,1-A-11-D-01,Pallite_16,0,,Yes,,6
VP North,1-A-11-D-02,Pallite_16,0,,Yes,,6
VP North,1-A-11-D-03,Pallite_16,0,,Yes,,10
VP North,1-A-11-D-04,Pallite_16,0,,Yes,,8
VP North,1-A-11-E-01,Pallite_16,0,,Yes,,21
VP North,1-A-11-E-02,Pallite_16,0,,Yes,,30
VP North,1-A-11-E-03,Pallite_16,0,,Yes,,9
VP North,1-A-11-E-04,Pallite_16,0,,Yes,,6
VP North,1-A-11-F-01,Pallite_16,0,,Yes,,0
VP North,1-A-11-F-02,Pallite_16,0,,Yes,,0
VP North,1-A-11-F-03,Pallite_16,0,,Yes,,0
VP North,1-A-11-F-04,Pallite_16,0,,Yes,,0
VP North,1-A-11-G-01,Pallite_16,0,,Yes,,0
VP North,1-A-11-G-02,Pallite_16,0,,Yes,,0
VP North,1-A-11-G-03,Pallite_16,0,,Yes,,0
VP North,1-A-11-G-04,Pallite_16,0,,Yes,,0
VP North,1-A-12-A-01,Pallite_48,0,,Yes,,0
VP North,1-A-12-A-02,Pallite_48,0,,Yes,,0
VP North,1-A-12-A-03,Pallite_48,0,,Yes,,0
VP North,1-A-12-A-04,Pallite_48,0,,Yes,,0
VP North,1-A-12-B-01,Pallite_48,0,,Yes,,92
VP North,1-A-12-B-02,Pallite_48,0,,Yes,,12
VP North,1-A-12-B-03,Pallite_48,0,,Yes,,5
VP North,1-A-12-B-04,Pallite_48,0,,Yes,,41
VP North,1-A-12-C-01,Pallite_48,0,,Yes,,6
VP North,1-A-12-C-02,Pallite_48,0,,Yes,,5
VP North,1-A-12-C-03,Pallite_48,0,,Yes,,9
VP North,1-A-12-C-04,Pallite_48,0,,Yes,,12
VP North,1-A-12-D-01,Pallite_48,0,,Yes,,10
VP North,1-A-12-D-02,Pallite_48,0,,Yes,,18
VP North,1-A-12-D-03,Pallite_48,0,,Yes,,4
VP North,1-A-12-D-04,Pallite_48,0,,Yes,,17
VP North,1-A-12-E-01,Pallite_48,0,,Yes,,24
VP North,1-A-12-E-02,Pallite_48,0,,Yes,,17
VP North,1-A-12-E-03,Pallite_48,0,,Yes,,18
VP North,1-A-12-E-04,Pallite_48,0,,Yes,,9
VP North,1-A-12-F-01,Pallite_48,0,,Yes,,12
VP North,1-A-12-F-02,Pallite_48,0,,Yes,,12
VP North,1-A-12-F-03,Pallite_48,0,,Yes,,45
VP North,1-A-12-F-04,Pallite_48,0,,Yes,,21
VP North,1-A-12-G-01,Pallite_48,0,,Yes,,7
VP North,1-A-12-G-02,Pallite_48,0,,Yes,,6
VP North,1-A-12-G-03,Pallite_48,0,,Yes,,22
VP North,1-A-12-G-04,Pallite_48,0,,Yes,,8
VP North,1-A-13-A-01,Pallite_16,0,,Yes,,0
VP North,1-A-13-A-02,Pallite_16,0,,Yes,,0
VP North,1-A-13-A-03,Pallite_16,0,,Yes,,0
VP North,1-A-13-A-04,Pallite_16,0,,Yes,,0
VP North,1-A-13-B-01,Pallite_16,0,,Yes,,21
VP North,1-A-13-B-02,Pallite_16,0,,Yes,,7
VP North,1-A-13-B-03,Pallite_16,0,,Yes,,24
VP North,1-A-13-B-04,Pallite_16,0,,Yes,,36
VP North,1-A-13-C-01,Pallite_16,0,,Yes,,20
VP North,1-A-13-C-02,Pallite_16,0,,Yes,,24
VP North,1-A-13-C-03,Pallite_16,0,,Yes,,27
VP North,1-A-13-C-04,Pallite_16,0,,Yes,,9
VP North,1-A-13-D-01,Pallite_16,0,,Yes,,4
VP North,1-A-13-D-02,Pallite_16,0,,Yes,,6
VP North,1-A-13-D-03,Pallite_16,0,,Yes,,12
VP North,1-A-13-D-04,Pallite_16,0,,Yes,,60
VP North,1-A-13-E-01,Pallite_16,0,,Yes,,5
VP North,1-A-13-E-02,Pallite_16,0,,Yes,,7
VP North,1-A-13-E-03,Pallite_16,0,,Yes,,12
VP North,1-A-13-E-04,Pallite_16,0,,Yes,,100
VP North,1-A-13-F-01,Pallite_16,0,,Yes,,0
VP North,1-A-13-F-02,Pallite_16,0,,Yes,,0
VP North,1-A-13-F-03,Pallite_16,0,,Yes,,0
VP North,1-A-13-F-04,Pallite_16,0,,Yes,,0
VP North,1-A-13-G-01,Pallite_16,0,,Yes,,0
VP North,1-A-13-G-02,Pallite_16,0,,Yes,,0
VP North,1-A-13-G-03,Pallite_16,0,,Yes,,0
VP North,1-A-13-G-04,Pallite_16,0,,Yes,,0
VP North,1-A-14-A-01,Pallite_48,0,,Yes,,0
VP North,1-A-14-A-02,Pallite_48,0,,Yes,,0
VP North,1-A-14-A-03,Pallite_48,0,,Yes,,0
VP North,1-A-14-A-04,Pallite_48,0,,Yes,,0
VP North,1-A-14-B-01,Pallite_48,0,,Yes,,20
VP North,1-A-14-B-02,Pallite_48,0,,Yes,,12
VP North,1-A-14-B-03,Pallite_48,0,,Yes,,11
VP North,1-A-14-B-04,Pallite_48,0,,Yes,,24
VP North,1-A-14-C-01,Pallite_48,0,,Yes,,13
VP North,1-A-14-C-02,Pallite_48,0,,Yes,,18
VP North,1-A-14-C-03,Pallite_48,0,,Yes,,18
VP North,1-A-14-C-04,Pallite_48,0,,Yes,,78
VP North,1-A-14-D-01,Pallite_48,0,,Yes,,44
VP North,1-A-14-D-02,Pallite_48,0,,Yes,,12
VP North,1-A-14-D-03,Pallite_48,0,,Yes,,0
VP North,1-A-14-D-04,Pallite_48,0,,Yes,,23
VP North,1-A-14-E-01,Pallite_48,0,,Yes,,100
VP North,1-A-14-E-02,Pallite_48,0,,Yes,,75
VP North,1-A-14-E-03,Pallite_48,0,,Yes,,50
VP North,1-A-14-E-04,Pallite_48,0,,Yes,,18
VP North,1-A-14-F-01,Pallite_48,0,,Yes,,18
VP North,1-A-14-F-02,Pallite_48,0,,Yes,,10
VP North,1-A-14-F-03,Pallite_48,0,,Yes,,22
VP North,1-A-14-F-04,Pallite_48,0,,Yes,,11
VP North,1-A-14-G-01,Pallite_48,0,,Yes,,24
VP North,1-A-14-G-02,Pallite_48,0,,Yes,,23
VP North,1-A-14-G-03,Pallite_48,0,,Yes,,18
VP North,1-A-14-G-04,Pallite_48,0,,Yes,,9
VP North,1-A-15-A-01,Pallite_16,0,,Yes,,0
VP North,1-A-15-A-02,Pallite_16,0,,Yes,,0
VP North,1-A-15-A-03,Pallite_16,0,,Yes,,0
VP North,1-A-15-A-04,Pallite_16,0,,Yes,,0
VP North,1-A-15-B-01,Pallite_16,0,,Yes,,21
VP North,1-A-15-B-02,Pallite_16,0,,Yes,,7
VP North,1-A-15-B-03,Pallite_16,0,,Yes,,58
VP North,1-A-15-B-04,Pallite_16,0,,Yes,,5
VP North,1-A-15-C-01,Pallite_16,0,,Yes,,28
VP North,1-A-15-C-02,Pallite_16,0,,Yes,,32
VP North,1-A-15-C-03,Pallite_16,0,,Yes,,18
VP North,1-A-15-C-04,Pallite_16,0,,Yes,,22
VP North,1-A-15-D-01,Pallite_16,0,,Yes,,11
VP North,1-A-15-D-02,Pallite_16,0,,Yes,,6
VP North,1-A-15-D-03,Pallite_16,0,,Yes,,15
VP North,1-A-15-D-04,Pallite_16,0,,Yes,,4
VP North,1-A-15-E-01,Pallite_16,0,,Yes,,4
VP North,1-A-15-E-02,Pallite_16,0,,Yes,,30
VP North,1-A-15-E-03,Pallite_16,0,,Yes,,7
VP North,1-A-15-E-04,Pallite_16,0,,Yes,,6
VP North,1-A-15-F-01,Pallite_16,0,,Yes,,0
VP North,1-A-15-F-02,Pallite_16,0,,Yes,,0
VP North,1-A-15-F-03,Pallite_16,0,,Yes,,0
VP North,1-A-15-F-04,Pallite_16,0,,Yes,,0
VP North,1-A-15-G-01,Pallite_16,0,,Yes,,0
VP North,1-A-15-G-02,Pallite_16,0,,Yes,,0
VP North,1-A-15-G-03,Pallite_16,0,,Yes,,0
VP North,1-A-15-G-04,Pallite_16,0,,Yes,,0
VP North,1-A-16-A-01,Pallite_48,0,,Yes,,0
VP North,1-A-16-A-02,Pallite_48,0,,Yes,,0
VP North,1-A-16-A-03,Pallite_48,0,,Yes,,0
VP North,1-A-16-A-04,Pallite_48,0,,Yes,,0
VP North,1-A-16-B-01,Pallite_48,0,,Yes,,22
VP North,1-A-16-B-02,Pallite_48,0,,Yes,,18
VP North,1-A-16-B-03,Pallite_48,0,,Yes,,24
VP North,1-A-16-B-04,Pallite_48,0,,Yes,,22
VP North,1-A-16-C-01,Pallite_48,0,,Yes,,4
VP North,1-A-16-C-02,Pallite_48,0,,Yes,,15
VP North,1-A-16-C-03,Pallite_48,0,,Yes,,24
VP North,1-A-16-C-04,Pallite_48,0,,Yes,,21
VP North,1-A-16-D-01,Pallite_48,0,,Yes,,9
VP North,1-A-16-D-02,Pallite_48,0,,Yes,,3
VP North,1-A-16-D-03,Pallite_48,0,,Yes,,14
VP North,1-A-16-D-04,Pallite_48,0,,Yes,,100
VP North,1-A-16-E-01,Pallite_48,0,,Yes,,1
VP North,1-A-16-E-02,Pallite_48,0,,Yes,,36
VP North,1-A-16-E-03,Pallite_48,0,,Yes,,6
VP North,1-A-16-E-04,Pallite_48,0,,Yes,,46
VP North,1-A-16-F-01,Pallite_48,0,,Yes,,4
VP North,1-A-16-F-02,Pallite_48,0,,Yes,,6
VP North,1-A-16-F-03,Pallite_48,0,,Yes,,15
VP North,1-A-16-F-04,Pallite_48,0,,Yes,,94
VP North,1-A-16-G-01,Pallite_48,0,,Yes,,19
VP North,1-A-16-G-02,Pallite_48,0,,Yes,,24
VP North,1-A-16-G-03,Pallite_48,0,,Yes,,6
VP North,1-A-16-G-04,Pallite_48,0,,Yes,,6
